"movieId","movieTitle","movieYear","movieURL","critic_score","audience_score"
"02fb8b51-8092-34d9-b5e7-ea925db1367a","Monty Python's The Meaning of Life",1983,"https://www.rottentomatoes.com/m/monty_pythons_the_meaning_of_life","86%","83%"
"667c637f-17c5-3734-8fd1-357dee3e0af9","Phantom of the Paradise",1974,"https://www.rottentomatoes.com/m/phantom_of_the_paradise","82%","84%"
"ad84b55d-6ac4-3de2-98ca-b450a7af8987","Oklahoma!",1955,"https://www.rottentomatoes.com/m/oklahoma","87%","75%"
"f94dc182-9009-3fa2-9e8c-90d777aeda93","The Muppets Take Manhattan",1984,"https://www.rottentomatoes.com/m/muppets_take_manhattan","85%","76%"
"7a6c12cb-740b-3584-99b7-99e4ec9e486d","Pennies From Heaven",1981,"https://www.rottentomatoes.com/m/1016119-pennies_from_heaven","83%","64%"
"c8253783-e21d-3eeb-acf5-d6c75d0f7135","Going My Way",1944,"https://www.rottentomatoes.com/m/going_my_way","83%","74%"
"3f8cdfed-027e-33c9-aa01-4b5bce0bca3b","Fame",1980,"https://www.rottentomatoes.com/m/fame","81%","69%"
"c0cc4cf0-0472-3b3a-b29f-aadcd788a511","Bugsy Malone",1976,"https://www.rottentomatoes.com/m/bugsy_malone","79%","80%"
"d6eab578-a1ac-4445-b359-da0a0fb92b7d","Hipsters",2011,"https://www.rottentomatoes.com/m/hipsters","80%","90%"
"ec150ffc-761b-386c-9e1c-8f52a8f0f1cb","The Jazz Singer",1927,"https://www.rottentomatoes.com/m/1010978-jazz_singer","78%","56%"
"504e99e7-e385-384e-b22b-fbbe340f87ab","The Wayward Cloud",2005,"https://www.rottentomatoes.com/m/the_wayward_cloud_2005","79%","70%"
"886d18a4-7510-3cff-84ec-562d52eff16d","Carmen Jones",1954,"https://www.rottentomatoes.com/m/carmen_jones","75%","78%"
"149be1bf-3621-3dd6-93d5-6a351bb8ce25","The Great Muppet Caper",1981,"https://www.rottentomatoes.com/m/great_muppet_caper","78%","78%"
"9be6f3a3-66ce-3883-9403-04e71b9331a3","Cry Baby",1990,"https://www.rottentomatoes.com/m/cry-baby","72%","77%"
"716da691-fcea-3594-8dd2-31994f0c926b","The Great Ziegfeld",1936,"https://www.rottentomatoes.com/m/the_great_ziegfeld","71%","50%"
"a6328122-185f-3d08-81da-b041c4793ba5","Meet the Feebles",1990,"https://www.rottentomatoes.com/m/meet_the_feebles","72%","73%"
"50759bdc-c22e-39d3-b904-59ecf5576f50","Annette",2021,"https://www.rottentomatoes.com/m/annette","71%","76%"
"34f61aeb-e296-3b46-9831-b0ce0c5bcfec","Beauty and the Beast",2017,"https://www.rottentomatoes.com/m/beauty_and_the_beast_2017","71%","80%"
"f38209fd-925c-37bf-a1d7-abbaf5c9bd1c","Into the Woods",2014,"https://www.rottentomatoes.com/m/into_the_woods_2014","71%","49%"
"9e53e708-ec3b-30a0-92fc-5e497653ad0d","Tommy",1975,"https://www.rottentomatoes.com/m/1021648-tommy","71%","71%"
